,Unnamed: 0,Unnamed: 0.1,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID,Class
240,32,32,0.656,1,0.605,11,-10.932,0.139,0.35,4.81E-06,0.126,0.178,112.003,286400,3F0QkJgY8l1PXE8cEN7W54,En Anbay,Yuvan Shankar Raja,Mounam Pesiyathe (Original Motion Picture Soundtrack),3F0QkJgY8l1PXE8cEN7W54,2
213,5,5,0.694,0,0.293,11,-16.278,0.0431,0.595,0.0154,0.132,0.637,143.804,299147,0bK0t1SBYT535UQVUXXNwN,Vaseegara,Harris Jayaraj,Minnale (Original Motion Picture Soundtrack),0bK0t1SBYT535UQVUXXNwN,1
455,151,20,0.593,0,0.776,0,-4.343,0.0325,0.216,2.94E-05,0.329,0.634,81.992,215457,4nSwWiwtieiNmRAjy9fEXN,Kannala Kannala - The Melting Point of Love,Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),4nSwWiwtieiNmRAjy9fEXN,0
682,202,17,0.874,0,0.412,0,-5.746,0.0313,0.035,0.00684,0.102,0.56,105.019,293893,7vR8sGqVg5HMEOEvECdzlQ,"En Kadhal Solla (From ""Paiya"")",Yuvan Shankar Raja,"Voice of Yuvanshankar Raja, Vol. 2",7vR8sGqVg5HMEOEvECdzlQ,0
324,28,28,0.302,1,0.469,0,-5.763,0.0283,0.597,0,0.333,0.181,92.175,267311,3EYQoeUNQiKlAkOE0HGU38,Neela Vaanam,Various Artists,Manmadan Ambu,3EYQoeUNQiKlAkOE0HGU38,0
326,174,43,0.56,1,0.729,8,-6.528,0.0303,0.0117,0.000136,0.105,0.259,127.998,356719,2G53OcVphvDNOs08gptddN,Maruvaarthai,Darbuka Siva,Enai Noki Paayum Thota (Original Motion Picture Soundtrack),2G53OcVphvDNOs08gptddN,0
634,175,51,0.829,0,0.622,3,-10.679,0.0512,0.424,0.000538,0.209,0.757,129.969,369360,7acN9HaStRBkP2UTOOpQ9q,Paravaiye Engu Irukkirai,Yuvan Shankar Raja,Tamil M.A.,7acN9HaStRBkP2UTOOpQ9q,2
291,80,80,0.868,0,0.832,5,-7.067,0.0892,0.215,0,0.0982,0.808,120.191,249293,5v7gCLVyLgpO5L6zdeXULd,Sonapareeya,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),5v7gCLVyLgpO5L6zdeXULd,1
62,79,20,0.871,1,0.724,4,-8.19,0.183,0.207,0,0.0907,0.893,124.013,280283,5QYdTg2M61Cz8vxCXX2zfi,Love Pannu,Harris Jayaraj,12 B (Original Motion Picture Soundtrack),5QYdTg2M61Cz8vxCXX2zfi,1
574,199,14,0.431,1,0.245,2,-9.85,0.0285,0.856,4.69E-06,0.0849,0.191,136.501,148040,3MRW0GfO592B9UjIiXkH3x,Vaanam Thottu Ponnao,Ilaiyaraaja,Devar Magan (Original Motion Picture Soundtrack),3MRW0GfO592B9UjIiXkH3x,2
