Name,Artist,uri,track_image,id,Class
Engey Mavarsan - Thangamey Sad,Various Artists,https://open.spotify.com/embed/track/7vGU4wZSbqkSu43p5BspXB,https://i.scdn.co/image/ab67616d00001e02081925cbed46523765d96acf,7vGU4wZSbqkSu43p5BspXB,2
Oh Penne,Anirudh Ravichander,https://open.spotify.com/embed/track/1zAkNzJZVPrWDCnowb1vpZ,https://i.scdn.co/image/ab67616d00001e0235e00bf518c28471731ee55c,1zAkNzJZVPrWDCnowb1vpZ,0
Eraivan vs Asuran,ADK,https://open.spotify.com/embed/track/3VveSHFeUYJ1l2TIIi9s0Q,https://i.scdn.co/image/ab67616d00001e02c37baef184504766791a9c54,3VveSHFeUYJ1l2TIIi9s0Q,3
Kombu Vachu Singamda,Arunraja Kamaraj,https://open.spotify.com/embed/track/4ZKmwphdmWxZW8mWUABkUo,https://i.scdn.co/image/ab67616d00001e02de5091296d881a5e725daf36,4ZKmwphdmWxZW8mWUABkUo,3
Kaadhal Endhan Kaadhal,Various Artists,https://open.spotify.com/embed/track/1qQWleBKx8FGfgW1P87lYu,https://i.scdn.co/image/ab67616d00001e0275c06b8007fc49ed172b2786,1qQWleBKx8FGfgW1P87lYu,2
Ei Suzhali,Santhosh Narayanan,https://open.spotify.com/embed/track/2lOrPIWA114GA1OFEcHc8R,https://i.scdn.co/image/ab67616d00001e02d65c528b6cc6b11836b7559c,2lOrPIWA114GA1OFEcHc8R,1
Kaththi Theme… The Sword of Destiny,Anirudh Ravichander,https://open.spotify.com/embed/track/08mHFRDUhiIybq23kKQuxS,https://i.scdn.co/image/ab67616d00001e02da54b6edee7dcfde6c258f14,08mHFRDUhiIybq23kKQuxS,3
Gaandu Kannamma,Vivek - Mervin,https://open.spotify.com/embed/track/7eS07q4Ft2ySmiH7NalStq,https://i.scdn.co/image/ab67616d00001e025cf8c612f3050cf32eb53256,7eS07q4Ft2ySmiH7NalStq,1
Neeyae,Vivek - Mervin,https://open.spotify.com/embed/track/1MZbccVLcsHx8jH4wcfbBs,https://i.scdn.co/image/ab67616d00001e02ce925c83e896bdac30f1ad6f,1MZbccVLcsHx8jH4wcfbBs,1
Somberi,Havoc Brothers,https://open.spotify.com/embed/track/40MlMSv2kkmph6XhYMOovm,https://i.scdn.co/image/ab67616d00001e024fcbb8d8c90dd576e13ce6b5,40MlMSv2kkmph6XhYMOovm,3
"Boomi Enna Suthudhe (From ""Ethir Neechal"")",Anirudh Ravichander,https://open.spotify.com/embed/track/3oWdVmZSm0mNlD8Cn5X4BK,https://i.scdn.co/image/ab67616d00001e02d8d94e629559d1ee95e486b7,3oWdVmZSm0mNlD8Cn5X4BK,1
"Velicha Poove (From ""Ethir Neechal"")",Anirudh Ravichander,https://open.spotify.com/embed/track/1MK6FCp06aF4wYkL0ggztn,https://i.scdn.co/image/ab67616d00001e02ecbc81fd96c9470f60f0283c,1MK6FCp06aF4wYkL0ggztn,1
